Country,Year,Series,Value
South Africa,2015,Population mid-year estimates (millions),55.88
South Africa,2020,Population mid-year estimates (millions),58.80
South Africa,2022,Population mid-year estimates (millions),59.89
South Africa,2010,Sex ratio (males per 100 females),92.8
South Africa,2015,Sex ratio (males per 100 females),94.5
South Africa,2020,Sex ratio (males per 100 females),94.6
South Africa,2022,Sex ratio (males per 100 females),94.9
Turkey,2010,Population aged 0 to 14 years old (percentage),26.7
Turkey,2015,Population aged 0 to 14 years old (percentage),24.6
Turkey,2020,Population aged 0 to 14 years old (percentage),23.7
Turkey,2022,Population aged 0 to 14 years old (percentage),23.2
Turkey,2010,Population aged 60+ years old (percentage),9.5
Turkey,2015,Population aged 60+ years old (percentage),10.6
Turkey,2020,Population aged 60+ years old (percentage),12.0
Turkey,2022,Population aged 60+ years old (percentage),12.7
Turkey,2010,Population density,95.1
Turkey,2015,Population density,103.5
Turkey,2020,Population density,109.3
Turkey,2022,Population density,110.9
Turkey,2010,Population mid-year estimates (millions),73.20
Turkey,2015,Population mid-year estimates (millions),79.65
Turkey,2020,Population mid-year estimates (millions),84.14
Turkey,2022,Population mid-year estimates (millions),85.34
Turkey,2010,Sex ratio (males per 100 females),100.9
Turkey,2015,Sex ratio (males per 100 females),100.8
Turkey,2020,Sex ratio (males per 100 females),100.5
Turkey,2022,Sex ratio (males per 100 females),100.4
Vietnam,2010,Population aged 0 to 14 years old (percentage),24.3
Vietnam,2015,Population aged 0 to 14 years old (percentage),23.4
Vietnam,2020,Population aged 0 to 14 years old (percentage),22.7
Vietnam,2022,Population aged 0 to 14 years old (percentage),22.4
Vietnam,2010,Population aged 60+ years old (percentage),9.3
Vietnam,2015,Population aged 60+ years old (percentage),10.9
Vietnam,2020,Population aged 60+ years old (percentage),13.1
Vietnam,2022,Population aged 60+ years old (percentage),13.8
Vietnam,2010,Population density,278.9
Vietnam,2015,Population density,294.2
Vietnam,2020,Population density,308.4
Vietnam,2022,Population density,313.3
Vietnam,2010,Population mid-year estimates (millions),87.41
Vietnam,2015,Population mid-year estimates (millions),92.19
Vietnam,2020,Population mid-year estimates (millions),96.65
Vietnam,2022,Population mid-year estimates (millions),98.19
Vietnam,2010,Sex ratio (males per 100 females),97.0
Vietnam,2015,Sex ratio (males per 100 females),97.4
Vietnam,2020,Sex ratio (males per 100 females),97.6
Vietnam,2022,Sex ratio (males per 100 females),97.6
